,vectors,case_id,advocates,win_side,votes_side,convo_id,term,docket_id,mq_score
789,[],1959_71,"{'thomas_w_gleason_jr': {'side': 1, 'role': 'inferred'}, 'thomas_r_sullivan': {'side': 3, 'role': 'inferred'}}",0,"{'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13782,1959,71,0.335
790,[],1959_71,"{'thomas_w_gleason_jr': {'side': 1, 'role': 'inferred'}, 'thomas_r_sullivan': {'side': 3, 'role': 'inferred'}}",0,"{'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13930,1959,71,0.335
791,[],1959_126,"{'malcolm_richard_wilkey': {'side': 1, 'role': 'inferred'}, 'frederick_bernays_wiener': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13794,1959,126,0.335
792,[],1959_126,"{'malcolm_richard_wilkey': {'side': 1, 'role': 'inferred'}, 'frederick_bernays_wiener': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13803,1959,126,0.335
793,[],1959_63,"{'arthur_lazarus_jr': {'side': 3, 'role': 'inferred'}, 'j_lee_rankin': {'side': 1, 'role': 'inferred'}, 'thomas_f_moore_jr': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 0, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13857,1959,63,0.335
794,[],1959_63,"{'arthur_lazarus_jr': {'side': 3, 'role': 'inferred'}, 'j_lee_rankin': {'side': 1, 'role': 'inferred'}, 'thomas_f_moore_jr': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 0, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13903,1959,63,0.335
795,[],1959_51,"{'charles_h_weston': {'side': 3, 'role': 'inferred'}, 'c_c_fraizer': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 1, 'j__william_o_douglas': 1, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13824,1959,51,0.335
796,[],1959_54,"{'mr_john_f_davis': {'side': 1, 'role': 'For the Appellant'}, 'david_rein': {'side': 0, 'role': 'For the Appellees'}, 'john_f__davis': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13884,1959,54,0.335
797,[],1959_492,"{'randolph_w_thrower': {'side': 1, 'role': 'inferred'}, 'john_n_stull': {'side': 0, 'role': 'inferred'}, 'charles_k_rice': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13456,1959,492,0.335
798,[],1959_492,"{'randolph_w_thrower': {'side': 1, 'role': 'inferred'}, 'john_n_stull': {'side': 0, 'role': 'inferred'}, 'charles_k_rice': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",23630,1959,492,0.335
